epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,543.88,0.19024,4.32341,0.78047,0.56783,0.30489,0.35346,0.35238,0.14708,3.09729,0.80582,0.00333232,0.00333232,0.0700091
2,1076.74,0.1545,2.53637,0.77112,0.69085,0.57695,0.65954,0.65898,0.13682,1.8382,0.80816,0.00645944,0.00645944,0.0398029
3,1606.15,0.1529,1.7088,0.7705,0.7428,0.72168,0.78907,0.78827,0.13683,1.32782,0.80742,0.0093803,0.0093803,0.00939039
4,2134.99,0.17184,1.25865,0.77412,0.8045,0.81647,0.8697,0.86873,0.14569,0.93328,0.80788,0.00907188,0.00907188,0.00907188
5,2663.56,0.18343,0.95456,0.77422,0.83963,0.83445,0.88952,0.88855,0.13708,0.79119,0.80436,0.0087625,0.0087625,0.0087625
6,3190.18,0.18297,0.81569,0.77405,0.86925,0.85597,0.90414,0.90304,0.13333,0.65291,0.80555,0.00845313,0.00845313,0.00845313
7,3716.56,0.17969,0.72985,0.77391,0.8662,0.85415,0.90267,0.90197,0.13156,0.64908,0.80389,0.00814375,0.00814375,0.00814375
8,4238.8,0.17426,0.68647,0.7733,0.8978,0.86463,0.91231,0.91181,0.13503,0.56051,0.80327,0.00783438,0.00783438,0.00783438
9,4762.57,0.16849,0.65576,0.77218,0.90001,0.86264,0.91089,0.91044,0.11651,0.54184,0.80151,0.007525,0.007525,0.007525
10,5297.56,0.16789,0.61664,0.77226,0.88901,0.87801,0.91505,0.91448,0.12295,0.50475,0.80124,0.00721562,0.00721562,0.00721562
11,5828.22,0.16153,0.59542,0.7711,0.91014,0.87218,0.91665,0.91638,0.11598,0.48581,0.80177,0.00690625,0.00690625,0.00690625
12,6360.68,0.15515,0.57624,0.77118,0.90595,0.87572,0.91618,0.91593,0.11964,0.48161,0.8008,0.00659688,0.00659688,0.00659688
13,6893.77,0.15311,0.55664,0.76841,0.9222,0.87071,0.91828,0.91797,0.10957,0.45741,0.80012,0.0062875,0.0062875,0.0062875
14,7423.5,0.14698,0.54497,0.76864,0.91278,0.87388,0.91664,0.91632,0.11099,0.4575,0.79991,0.00597812,0.00597812,0.00597812
15,7954.42,0.14489,0.52355,0.76835,0.92267,0.87465,0.91828,0.91798,0.10375,0.43694,0.79786,0.00566875,0.00566875,0.00566875
16,8484.69,0.13973,0.51026,0.76709,0.91922,0.87853,0.9184,0.91824,0.10838,0.42845,0.79731,0.00535937,0.00535937,0.00535937
17,9013.41,0.13536,0.50362,0.76639,0.93073,0.87144,0.91954,0.91938,0.09993,0.42078,0.79766,0.00505,0.00505,0.00505
18,9553.59,0.13196,0.49375,0.76575,0.91938,0.87512,0.91842,0.91835,0.09941,0.42507,0.79696,0.00474063,0.00474063,0.00474063
19,10087.9,0.12787,0.48013,0.76546,0.93765,0.87243,0.92051,0.92037,0.0975,0.4086,0.79668,0.00443125,0.00443125,0.00443125
20,10616.9,0.12428,0.46911,0.76467,0.93957,0.87367,0.92162,0.92151,0.0943,0.39908,0.79605,0.00412187,0.00412187,0.00412187
21,11145.9,0.122,0.45676,0.7655,0.92743,0.87756,0.92099,0.92092,0.09153,0.3936,0.79515,0.0038125,0.0038125,0.0038125
22,11676.2,0.11814,0.44843,0.76402,0.93663,0.87524,0.92196,0.92193,0.09162,0.39132,0.79538,0.00350313,0.00350313,0.00350313
23,12227.2,0.11523,0.44009,0.76314,0.93412,0.87958,0.92242,0.92239,0.08925,0.38391,0.79492,0.00319375,0.00319375,0.00319375
24,12756.4,0.11179,0.42915,0.76272,0.93581,0.87841,0.9235,0.92341,0.08811,0.37733,0.79401,0.00288438,0.00288438,0.00288438
25,13284.1,0.10932,0.41997,0.76177,0.92872,0.88122,0.92279,0.92268,0.08862,0.37911,0.79388,0.002575,0.002575,0.002575
26,13807.8,0.10657,0.4097,0.76118,0.93829,0.8786,0.92221,0.92214,0.08768,0.377,0.79334,0.00226562,0.00226562,0.00226562
27,14332.8,0.10476,0.40343,0.76131,0.93482,0.8832,0.9221,0.92205,0.08589,0.36971,0.79332,0.00195625,0.00195625,0.00195625
28,14861.3,0.10234,0.3922,0.7618,0.93679,0.88161,0.92255,0.92247,0.08493,0.3688,0.79315,0.00164688,0.00164688,0.00164688
29,15390.1,0.10041,0.38339,0.76131,0.94552,0.87709,0.92317,0.92313,0.08393,0.36913,0.79246,0.0013375,0.0013375,0.0013375
30,15916.3,0.09892,0.37763,0.76026,0.94084,0.87993,0.92363,0.92356,0.08377,0.36596,0.79222,0.00102812,0.00102812,0.00102812
31,16442,0.09819,0.36619,0.76098,0.93687,0.88308,0.92415,0.92406,0.08273,0.36057,0.79227,0.00071875,0.00071875,0.00071875
32,16968,0.0968,0.35837,0.76035,0.94761,0.87621,0.92314,0.9231,0.08182,0.35972,0.79199,0.000409375,0.000409375,0.000409375
