epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,446.525,0.54752,6.24627,0.8565,0.00045,0.00572,0.00047,0.00045,0.40673,5.84879,0.83294,0.0033312,0.0033312,0.0700192
2,1866.62,0.50316,5.79736,0.83906,0.00205,0.02146,0.00404,0.0039,0.41099,5.48608,0.84206,0.00658206,0.00658206,0.0399368
3,2442.24,0.51722,5.3861,0.84686,0.01221,0.09245,0.03009,0.02862,0.41717,4.9619,0.85325,0.00975042,0.00975042,0.00977178
4,3000.59,0.47874,4.7847,0.8424,0.49356,0.11081,0.102,0.09861,0.31148,4.30588,0.84135,0.00962875,0.00962875,0.00962875
5,3564.66,0.39974,4.09149,0.82492,0.54817,0.22837,0.23115,0.22295,0.30455,3.60403,0.83278,0.009505,0.009505,0.009505
6,4125.56,0.36062,3.43318,0.81184,0.54565,0.3775,0.38374,0.37264,0.27736,2.98944,0.82652,0.00938125,0.00938125,0.00938125
7,4691.69,0.33844,2.82928,0.80523,0.57329,0.49356,0.51864,0.50776,0.25145,2.48617,0.81979,0.0092575,0.0092575,0.0092575
8,5256.17,0.31998,2.3347,0.80265,0.64627,0.62071,0.67925,0.66577,0.24751,1.93783,0.81816,0.00913375,0.00913375,0.00913375
9,5811.43,0.31222,1.9327,0.79778,0.68407,0.71064,0.76736,0.75518,0.23969,1.57203,0.81711,0.00901,0.00901,0.00901
10,6367.79,0.29721,1.64863,0.79681,0.73093,0.75416,0.81402,0.80142,0.23182,1.34523,0.81086,0.00888625,0.00888625,0.00888625
11,6923.67,0.29701,1.42108,0.79459,0.77339,0.78712,0.84855,0.83776,0.22025,1.13891,0.81155,0.0087625,0.0087625,0.0087625
12,7479.76,0.28077,1.25458,0.79115,0.79689,0.80849,0.86662,0.85669,0.22082,1.00929,0.81001,0.00863875,0.00863875,0.00863875
13,8037.52,0.27191,1.13409,0.79084,0.7945,0.83279,0.87636,0.86657,0.20159,0.91756,0.80955,0.008515,0.008515,0.008515
14,8587.71,0.27279,1.03455,0.7879,0.82069,0.83751,0.88507,0.87671,0.19572,0.83809,0.80689,0.00839125,0.00839125,0.00839125
15,9144.16,0.26088,0.95711,0.78636,0.84515,0.83654,0.89079,0.88462,0.18773,0.79641,0.80405,0.0082675,0.0082675,0.0082675
16,9704.28,0.25294,0.90844,0.78795,0.84512,0.8548,0.89613,0.88996,0.18295,0.73022,0.80385,0.00814375,0.00814375,0.00814375
17,10263,0.25197,0.84716,0.78482,0.85503,0.85167,0.89999,0.89473,0.18027,0.70446,0.80342,0.00802,0.00802,0.00802
18,10822.6,0.2397,0.82326,0.7837,0.87153,0.85216,0.90218,0.89694,0.17473,0.66951,0.80397,0.00789625,0.00789625,0.00789625
19,11383.3,0.23965,0.77258,0.78113,0.88255,0.85136,0.90487,0.89982,0.17055,0.64329,0.80086,0.0077725,0.0077725,0.0077725
20,11947.7,0.2312,0.75556,0.78098,0.87553,0.86435,0.90505,0.90055,0.16756,0.6275,0.80089,0.00764875,0.00764875,0.00764875
21,12512.6,0.22711,0.72599,0.78057,0.88815,0.86066,0.90715,0.9025,0.16146,0.6032,0.80042,0.007525,0.007525,0.007525
22,13072.8,0.22321,0.70022,0.77863,0.88213,0.87119,0.90984,0.90629,0.15536,0.58127,0.79804,0.00740125,0.00740125,0.00740125
23,13640.6,0.21434,0.69323,0.78033,0.88912,0.8654,0.91145,0.90711,0.15617,0.57159,0.79977,0.0072775,0.0072775,0.0072775
24,14209.9,0.21461,0.66815,0.77828,0.90657,0.86283,0.9115,0.90844,0.15113,0.55068,0.80077,0.00715375,0.00715375,0.00715375
25,14778.2,0.20784,0.65372,0.7782,0.90361,0.86475,0.91348,0.91081,0.14481,0.53893,0.79662,0.00703,0.00703,0.00703
